species,hses_code,year,aimag_mn,loss
Адуу,67,2004,Хөвсгөл,3.1
Адуу,67,2005,Хөвсгөл,3.6
Адуу,67,2006,Хөвсгөл,2.2
Адуу,67,2007,Хөвсгөл,2.4
Адуу,67,2008,Хөвсгөл,2.1
Адуу,67,2009,Хөвсгөл,4
Адуу,67,2010,Хөвсгөл,10.7
Адуу,67,2011,Хөвсгөл,2.5
Адуу,67,2012,Хөвсгөл,2
Адуу,67,2013,Хөвсгөл,3.7
Адуу,67,2014,Хөвсгөл,1.5
Адуу,67,2015,Хөвсгөл,2.7
Адуу,67,2016,Хөвсгөл,2.1
Адуу,67,2017,Хөвсгөл,5.2
Адуу,67,2018,Хөвсгөл,3.1
Адуу,67,2019,Хөвсгөл,3.3
Адуу,67,2020,Хөвсгөл,12.4
Адуу,67,2021,Хөвсгөл,3.2
Адуу,67,2022,Хөвсгөл,2.8
Адуу,67,2023,Хөвсгөл,11.4
Адуу,67,2024,Хөвсгөл,21.4
Адуу,81,1991,Завхан,5.2
Адуу,81,1992,Завхан,4.9
Адуу,81,1993,Завхан,15.8
Адуу,81,1994,Завхан,1
Адуу,81,1995,Завхан,2.1
Адуу,81,1996,Завхан,1.8
Адуу,81,1997,Завхан,2.7
Адуу,81,1998,Завхан,5
Адуу,81,1999,Завхан,10.8
Адуу,81,2000,Завхан,40.1
Адуу,81,2001,Завхан,42.9
Адуу,81,2002,Завхан,6.7
Адуу,81,2003,Завхан,4.5
Адуу,81,2004,Завхан,1.1
Адуу,81,2005,Завхан,2.3
Адуу,81,2006,Завхан,1
Адуу,81,2007,Завхан,0.9
Адуу,81,2008,Завхан,2.6
Адуу,81,2009,Завхан,5.7
Адуу,81,2010,Завхан,30
Адуу,81,2011,Завхан,1.6
Адуу,81,2012,Завхан,1.5
Адуу,81,2013,Завхан,3
Адуу,81,2014,Завхан,1
Адуу,81,2015,Завхан,1.1
Адуу,81,2016,Завхан,2.6
Адуу,81,2017,Завхан,1.7
Адуу,81,2018,Завхан,3
Адуу,81,2019,Завхан,1.8
Адуу,81,2020,Завхан,4.2
Адуу,81,2021,Завхан,3.4
Адуу,81,2022,Завхан,1.1
Адуу,81,2023,Завхан,15.1
Адуу,81,2024,Завхан,20.3
Адуу,82,1991,Говь-Алтай,1.9
Адуу,82,1992,Говь-Алтай,1.2
Адуу,82,1993,Говь-Алтай,5.3
Адуу,82,1994,Говь-Алтай,0.8
Адуу,82,1995,Говь-Алтай,1
Адуу,82,1996,Говь-Алтай,1.4
Адуу,82,1997,Говь-Алтай,4.9
Адуу,82,1998,Говь-Алтай,4.9
Адуу,82,1999,Говь-Алтай,3.4
Адуу,82,2000,Говь-Алтай,7.6
Адуу,82,2001,Говь-Алтай,6.9
Адуу,82,2002,Говь-Алтай,42.7
Адуу,82,2003,Говь-Алтай,0.8
Адуу,82,2004,Говь-Алтай,0.4
Адуу,82,2005,Говь-Алтай,0.5
Адуу,82,2006,Говь-Алтай,0.3
Адуу,82,2007,Говь-Алтай,0.4
Адуу,82,2008,Говь-Алтай,1.1
Адуу,82,2009,Говь-Алтай,3.2
Адуу,82,2010,Говь-Алтай,23.6
Адуу,82,2011,Говь-Алтай,0.8
Адуу,82,2012,Говь-Алтай,0.6
Адуу,82,2013,Говь-Алтай,0.7
Адуу,82,2014,Говь-Алтай,0.5
Адуу,82,2015,Говь-Алтай,0.5
Адуу,82,2016,Говь-Алтай,0.6
Адуу,82,2017,Говь-Алтай,0.3
Адуу,82,2018,Говь-Алтай,2
Адуу,82,2019,Говь-Алтай,2.1
Адуу,82,2020,Говь-Алтай,1.2
Адуу,82,2021,Говь-Алтай,6
Адуу,82,2022,Говь-Алтай,0.7
Адуу,82,2023,Говь-Алтай,5.8
