species,hses_code,year,aimag_mn,livestock
Адуу,45,1975,Дархан-Уул,1.4
Адуу,45,1976,Дархан-Уул,1.6
Адуу,45,1977,Дархан-Уул,1.7
Адуу,45,1978,Дархан-Уул,1.8
Адуу,45,1979,Дархан-Уул,7.3
Адуу,45,1980,Дархан-Уул,2
Адуу,45,1981,Дархан-Уул,2
Адуу,45,1982,Дархан-Уул,3.1
Адуу,45,1983,Дархан-Уул,3.3
Адуу,45,1984,Дархан-Уул,3.7
Адуу,45,1985,Дархан-Уул,4
Адуу,45,1986,Дархан-Уул,4
Адуу,45,1987,Дархан-Уул,4.8
Адуу,45,1988,Дархан-Уул,5.4
Адуу,45,1989,Дархан-Уул,6.3
Адуу,45,1990,Дархан-Уул,7.8
Адуу,45,1991,Дархан-Уул,9.6
Адуу,45,1992,Дархан-Уул,10.3
Адуу,45,1993,Дархан-Уул,10.3
Адуу,45,1994,Дархан-Уул,10.8
Адуу,45,1995,Дархан-Уул,11.6
Адуу,45,1996,Дархан-Уул,11.3
Адуу,45,1997,Дархан-Уул,11
Адуу,45,1998,Дархан-Уул,12.2
Адуу,45,1999,Дархан-Уул,12.7
Адуу,45,2000,Дархан-Уул,12.7
Адуу,45,2001,Дархан-Уул,13.2
Адуу,45,2002,Дархан-Уул,10.7
Адуу,45,2003,Дархан-Уул,8.6
Адуу,45,2004,Дархан-Уул,8.1
Адуу,45,2005,Дархан-Уул,7.5
Адуу,45,2006,Дархан-Уул,7.8
Адуу,45,2007,Дархан-Уул,7.9
Адуу,45,2008,Дархан-Уул,10.4
Адуу,45,2009,Дархан-Уул,11.1
Адуу,45,2010,Дархан-Уул,10.2
Адуу,45,2011,Дархан-Уул,11
Адуу,45,2012,Дархан-Уул,11.3
Адуу,45,2013,Дархан-Уул,12.8
Адуу,45,2014,Дархан-Уул,14.2
Адуу,45,2015,Дархан-Уул,14.7
Адуу,45,2016,Дархан-Уул,16.9
Адуу,45,2017,Дархан-Уул,17
Адуу,45,2018,Дархан-Уул,17.7
Адуу,45,2019,Дархан-Уул,19.3
Адуу,45,2020,Дархан-Уул,20.3
Адуу,45,2021,Дархан-Уул,22.1
Адуу,45,2022,Дархан-Уул,21.6
Адуу,45,2023,Дархан-Уул,21.9
Адуу,45,2024,Дархан-Уул,24.6
Адуу,46,1970,Өмнөговь,97
Адуу,46,1971,Өмнөговь,86.4
Адуу,46,1972,Өмнөговь,85.7
Адуу,46,1973,Өмнөговь,67.1
Адуу,46,1974,Өмнөговь,74.2
Адуу,46,1975,Өмнөговь,77.5
Адуу,46,1976,Өмнөговь,80.8
Адуу,46,1977,Өмнөговь,81.7
Адуу,46,1978,Өмнөговь,84.1
Адуу,46,1979,Өмнөговь,83.9
Адуу,46,1980,Өмнөговь,77.9
Адуу,46,1981,Өмнөговь,81
Адуу,46,1982,Өмнөговь,81.1
Адуу,46,1983,Өмнөговь,69
Адуу,46,1984,Өмнөговь,70.1
Адуу,46,1985,Өмнөговь,65.6
Адуу,46,1986,Өмнөговь,62.4
Адуу,46,1987,Өмнөговь,63.3
Адуу,46,1988,Өмнөговь,65.6
Адуу,46,1989,Өмнөговь,67.8
Адуу,46,1990,Өмнөговь,62.5
Адуу,46,1991,Өмнөговь,62.6
Адуу,46,1992,Өмнөговь,59.9
Адуу,46,1993,Өмнөговь,58.5
Адуу,46,1994,Өмнөговь,67.7
Адуу,46,1995,Өмнөговь,78.6
Адуу,46,1996,Өмнөговь,88.7
Адуу,46,1997,Өмнөговь,101.4
Адуу,46,1998,Өмнөговь,113.6
Адуу,46,1999,Өмнөговь,119
Адуу,46,2000,Өмнөговь,99.2
Адуу,46,2001,Өмнөговь,65.9
Адуу,46,2002,Өмнөговь,42.2
Адуу,46,2003,Өмнөговь,36.7
Адуу,46,2004,Өмнөговь,40.9
Адуу,46,2005,Өмнөговь,42.8
Адуу,46,2006,Өмнөговь,42.2
Адуу,46,2007,Өмнөговь,46.4
