hses_code,year,schools,students,school_density
67,2006,33,27.3,1.2087912087912087
67,2007,32,27.1,1.1808118081180812
67,2008,32,26.6,1.2030075187969924
67,2009,33,26.2,1.2595419847328244
67,2010,34,25.9,1.3127413127413128
67,2011,35,25.1,1.394422310756972
67,2012,35,24.7,1.417004048582996
67,2013,35,24.4,1.4344262295081969
67,2014,35,24.5,1.4285714285714286
67,2015,35,24.8,1.411290322580645
67,2016,36,25.5,1.411764705882353
67,2017,36,26.1,1.379310344827586
67,2018,36,26.3,1.3688212927756653
67,2019,36,27.9,1.2903225806451613
67,2020,35,29.1,1.2027491408934707
67,2021,35,29.7,1.1784511784511784
67,2022,35,30.4,1.1513157894736843
67,2023,34,30.8,1.103896103896104
67,2024,34,31.3,1.0862619808306708
67,2025,34,31.4,1.0828025477707006
81,2000,34,16.6,2.048192771084337
81,2001,38,17.1,2.222222222222222
81,2002,34,18,1.8888888888888888
81,2003,33,18,1.8333333333333333
81,2004,33,18.4,1.7934782608695654
81,2005,32,18.3,1.7486338797814207
81,2006,33,17.7,1.864406779661017
81,2007,33,17.8,1.8539325842696628
81,2008,32,17.5,1.8285714285714285
81,2009,31,16.9,1.8343195266272192
81,2010,30,15.6,1.9230769230769231
81,2011,30,15.1,1.9867549668874174
81,2012,30,14.6,2.0547945205479454
81,2013,30,14.2,2.1126760563380285
81,2014,30,14.2,2.1126760563380285
81,2015,30,14.6,2.0547945205479454
81,2016,30,14.6,2.0547945205479454
81,2017,30,14.7,2.0408163265306123
81,2018,30,14.5,2.0689655172413794
81,2019,30,15.2,1.973684210526316
81,2020,30,15.5,1.935483870967742
81,2021,30,15.8,1.8987341772151898
81,2022,30,15.8,1.8987341772151898
81,2023,30,15.7,1.910828025477707
81,2024,31,15.7,1.9745222929936306
81,2025,31,15.6,1.9871794871794872
82,2000,28,12.7,2.204724409448819
82,2001,28,12.8,2.1875
82,2002,29,12.5,2.32
82,2003,28,12.5,2.24
82,2004,27,15,1.8
82,2005,27,15.1,1.7880794701986755
82,2006,29,13.1,2.213740458015267
82,2007,29,12.9,2.248062015503876
82,2008,28,12.9,2.1705426356589146
82,2009,28,12.6,2.2222222222222223
82,2010,28,12.3,2.2764227642276422
82,2011,28,12,2.3333333333333335
82,2012,28,11.6,2.413793103448276
82,2013,28,11.3,2.47787610619469
82,2014,28,11.1,2.5225225225225225
82,2015,28,11.3,2.47787610619469
82,2016,28,11.3,2.47787610619469
82,2017,28,11.4,2.456140350877193
82,2018,28,11.4,2.456140350877193
82,2019,29,11.7,2.4786324786324787
82,2020,28,11.9,2.3529411764705883
82,2021,28,11.8,2.3728813559322033
82,2022,28,11.8,2.3728813559322033
82,2023,28,11.7,2.393162393162393
82,2024,28,11.8,2.3728813559322033
82,2025,28,11.8,2.3728813559322033
83,2000,35,18.8,1.8617021276595744
83,2001,35,20.2,1.7326732673267327
83,2002,37,21.6,1.7129629629629628
83,2003,37,22.4,1.6517857142857144
83,2004,37,23.7,1.5611814345991561
83,2005,38,23.4,1.623931623931624
83,2006,41,23.3,1.759656652360515
83,2007,41,23.7,1.729957805907173
83,2008,41,24,1.7083333333333333
83,2009,42,23.8,1.7647058823529411
83,2010,43,23.2,1.853448275862069
83,2011,42,23.1,1.8181818181818181
83,2012,42,22.6,1.8584070796460175
83,2013,42,22.3,1.8834080717488788
83,2014,43,21.6,1.9907407407407407
83,2015,43,22.6,1.902654867256637
83,2016,43,22.6,1.902654867256637
83,2017,43,23.1,1.8614718614718613
83,2018,43,23.2,1.853448275862069
83,2019,43,23.8,1.8067226890756303
83,2020,44,25,1.76
83,2021,44,25.4,1.7322834645669292
83,2022,44,25.9,1.698841698841699
83,2023,44,26.3,1.6730038022813687
83,2024,45,27,1.6666666666666667
83,2025,43,27.7,1.552346570397112
84,2000,22,18.3,1.2021857923497268
84,2001,25,19.4,1.288659793814433
84,2002,24,20.1,1.1940298507462686
84,2003,23,20.4,1.1274509803921569
84,2004,23,21.8,1.055045871559633
84,2005,23,21.6,1.0648148148148147
84,2006,24,21.6,1.111111111111111
84,2007,24,21.9,1.0958904109589043
84,2008,23,21.4,1.074766355140187
84,2009,23,20.5,1.1219512195121952
84,2010,23,19.6,1.173469387755102
84,2011,24,19,1.263157894736842
84,2012,24,18.4,1.3043478260869565
84,2013,24,17.9,1.340782122905028
84,2014,24,17.8,1.348314606741573
84,2015,24,18.3,1.3114754098360655
84,2016,25,18.1,1.3812154696132595
84,2017,25,18.5,1.3513513513513513
84,2018,25,18.6,1.3440860215053763
84,2019,25,19.4,1.288659793814433
84,2020,25,20.2,1.2376237623762376
84,2021,25,20.5,1.2195121951219512
84,2022,25,21,1.1904761904761905
84,2023,25,21.2,1.179245283018868
84,2024,25,21.8,1.146788990825688
84,2025,25,22.3,1.1210762331838564
85,2000,26,17.3,1.5028901734104045
85,2001,27,18.1,1.4917127071823204
85,2002,29,18.9,1.5343915343915344
85,2003,30,19.6,1.530612244897959
85,2004,30,20.8,1.4423076923076923
85,2005,30,21.2,1.4150943396226416
85,2006,27,20.8,1.2980769230769231
85,2007,27,20.5,1.3170731707317074
85,2008,27,20.4,1.323529411764706
85,2009,27,19.8,1.3636363636363635
85,2010,28,19.6,1.4285714285714284
85,2011,30,18.7,1.6042780748663101
85,2012,31,18,1.7222222222222223
85,2013,31,17.4,1.781609195402299
85,2014,30,17,1.7647058823529411
85,2015,30,17.4,1.7241379310344829
85,2016,30,17.4,1.7241379310344829
85,2017,30,17.5,1.7142857142857142
85,2018,30,17.7,1.6949152542372883
85,2019,30,18,1.6666666666666667
85,2020,30,18.5,1.6216216216216217
85,2021,30,18.8,1.5957446808510638
85,2022,29,19.3,1.5025906735751295
85,2023,29,19.7,1.4720812182741116
85,2024,30,20,1.5
85,2025,30,20.2,1.4851485148514851
