b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
238,25.387596899224807,0.10543872469382295,0.13761410084410491,0.03217537615028196,928,799,129,FALSE,FALSE,
239,25.072886297376094,0.0975219830350995,0.15284150204958738,0.05531951901448788,982,792,190,FALSE,FALSE,
240,25.235849056603772,0.1187224398123952,0.1469285979125357,0.028206158100140502,1010,812,198,FALSE,FALSE,
241,19.707207207207208,0.08909582946283393,0.10644212039232663,0.017346290929492705,1607,630,977,FALSE,FALSE,
242,17.925478348439075,0.11340584252367432,0.12291139206484268,0.009505549541168362,1125,121,1004,FALSE,FALSE,
243,25.666666666666668,0.0713326359550913,0.13967307326178782,0.06834043730669652,833,717,116,FALSE,FALSE,
244,25.519287833827892,0.08158872238250497,0.12867698783301612,0.047088265450511146,988,836,152,FALSE,FALSE,
245,25.235849056603772,0.09537337092411367,0.14475062727676294,0.049377256352649265,1023,837,186,FALSE,FALSE,
246,25.679347826086957,0.09524595263233454,0.12834187588937274,0.033095923257038196,1102,949,153,FALSE,FALSE,
247,21.48070907194995,0.1057028792266114,0.13253982163690167,0.026836942410290276,1090,612,478,FALSE,FALSE,
248,25.519287833827892,0.10460192846942483,0.14086211723308273,0.0362601887636579,1082,921,161,FALSE,FALSE,
249,25.519287833827892,0.05154434126363538,0.11807549796251104,0.06653115669887566,821,729,92,FALSE,FALSE,
250,25.806451612903224,0.10471938267806533,0.12628072336098647,0.02156134068292115,837,742,95,FALSE,FALSE,
251,18.684759916492695,0.15543417493722034,0.1268018546779427,-0.028632320259277644,842,307,535,FALSE,FALSE,
