source_file,survey_folder,file_name,variable_name,variable_label,family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8G,"ТООР, КИВИ, БАНАН ЗЭРЭГ А ВИТАМИНААР БАЯЛАГ ЖИМС ИДСЭН ҮҮ?",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8H,ДЭЭР ДУРДСАНААС ӨӨР ТӨРЛИЙН ХҮНСНИЙ НОГОО БОЛОН БУСАД ЯМАР НЭГ ЖИМС ИДСЭН ҮҮ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8I,"ДОТОР МАХ (ЭЛЭГ, БӨӨР, ЗҮРХ) ИДСЭН ҮҮ?",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8J,"МАЛ, ГАХАЙ, ШУВУУНЫ МАХ ИДСЭН ҮҮ?",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8K,ӨНДӨГ БОЛОН ӨНДГӨӨР БАЯЖУУЛСАН БҮТЭЭГДЭХҮҮН ИДСЭН ҮҮ?,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8L,ЗАГАСАН БҮТЭЭГДЭХҮҮН ИДСЭН ҮҮ?,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8M,"ЯМАР НЭГЭН БУУРЦАГНЫ БЭЛЭН БҮТЭЭГДЭХҮҮН, БҮХ ТӨРЛИЙН ВАНДУЙ, САМАР, ШОШ ИДСЭН ҮҮ?",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8N,"БЯСЛАГ, ЭЭДЭМ, СҮҮ БОЛОН БУСАД БҮХ ТӨРЛИЙН СҮҮН БҮТЭЭГДЭХҮҮН ИДСЭН ҮҮ?",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8O,"ДЭЭР ДУРДСАН БҮТЭЭГДЭХҮҮНЭЭС ӨӨР ЯМАР НЭГ ТӨРЛИЙН ЗУТАН, БАНТАН, ЭСВЭЛ ТОМЧУУДЫН ХООЛ ЗЭРГЭЭС ИДСЭН ҮҮ?",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD10,Хүүхдэд өчигдөр ямар нэг хоол идүүлсэн эсэхийг эх/ асран хамгаалагчаас дахин лавлаж асууна,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD11,"СҮҮЛЧИЙН НЭГ ХОНОГТ ДЭЭР ДУРДСАН БҮТЭЭГДЭХҮҮНЭЭС ӨӨР ЯМАР НЭГ ТӨРЛИЙН ЗУТАН, БАНТАН, ЭСВЭЛ ТОМЧУУДЫН ХООЛ ЗЭРГЭЭС ХЭДЭН",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,IM1,(Нэр) ВАКЦИНЖУУЛАЛТЫН КАРТТАЙ ЮУ?,other
