b,gamma_boot,distance_cutoff_km_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
312,5.893695483748599,362.7433225537648,0.12126235551063463,0.07712258709523,-0.04413976841540464,2980,1579,1401,FALSE,FALSE,
313,0,0,0.11837092250911005,0.1120110928419507,-0.006359829667159353,3311,813,2498,TRUE,FALSE,S_cluster unavailable; used robust S
314,6.228819337004976,507.15634914338665,0.08950119400147613,0.06164352918769311,-0.027857664813783024,2324,1526,798,FALSE,FALSE,
315,6.031531866870764,416.3523374741248,0.1173702970241279,0.09843535928001082,-0.018934937744117086,2456,1072,1384,FALSE,FALSE,
316,6.228819337004976,507.15634914338665,0.0873947622442246,0.07638170961280737,-0.011013052631417233,2353,1439,914,FALSE,FALSE,
317,5.893695483748599,362.7433225537648,0.1133890689062425,0.0884443482081139,-0.0249447206981286,3917,2610,1307,FALSE,FALSE,
318,6.031531866870764,416.3523374741248,0.12571697761690695,0.0872351348637565,-0.03848184275315045,3016,1379,1637,FALSE,FALSE,
319,5.499361342425192,244.53570780046405,0.11611896042604329,0.061144474192572226,-0.054974486233471065,4236,1868,2368,FALSE,FALSE,
320,0,0,0.1170460143904964,0.058043233585674245,-0.05900278080482216,3131,813,2318,TRUE,FALSE,S_cluster unavailable; used robust S
321,3.166224512012111,23.717768951505168,0.11998803584746674,0.09313386981651325,-0.02685416603095349,2895,925,1970,FALSE,FALSE,
322,5.893695483748599,362.7433225537648,0.11327585475258556,0.09289758937827955,-0.02037826537430601,4071,2465,1606,FALSE,FALSE,
323,5.893695483748599,362.7433225537648,0.10626690864840027,0.10497237496748268,-0.0012945336809175867,2327,881,1446,FALSE,FALSE,
324,3.166224512012111,23.717768951505168,0.12159622897875672,0.09360752070614954,-0.027988708272607174,3134,1037,2097,FALSE,FALSE,
325,6.031531866870764,416.3523374741248,0.10136815855053555,0.0679767956326113,-0.033391362917924244,2519,1375,1144,FALSE,FALSE,
326,6.228819337004976,507.15634914338665,0.1104764740307504,0.04874010517944383,-0.06173636885130657,3757,2235,1522,FALSE,FALSE,
327,6.212866024558282,499.129721333,0.11444535423392567,0.07280356382306682,-0.041641790410858845,3804,2889,915,FALSE,FALSE,
328,6.7131620918227926,823.169465858091,0.05694821786756462,0.07235582887096872,0.015407611003404105,2611,2145,466,FALSE,FALSE,
329,7.009217191049774,1106.7877623316901,0.09662240890592143,0.09741218530726882,7.897764013473918e-4,2442,1896,546,FALSE,FALSE,
330,5.893695483748599,362.7433225537648,0.11763520369809788,0.08748160423590023,-0.030153599462197644,3250,1801,1449,FALSE,FALSE,
331,5.595497032343333,269.2114236293638,0.120460718211279,0.09634296219444358,-0.024117756016835426,4501,2749,1752,FALSE,FALSE,
332,5.893695483748599,362.7433225537648,0.12334965718492227,0.0904753597877072,-0.03287429739721508,2658,693,1965,FALSE,FALSE,
333,6.031531866870764,416.3523374741248,0.1429677838437249,0.09350660074853989,-0.04946118309518502,2381,981,1400,FALSE,FALSE,
